experiment_name,id,trial,condition,effort_level,rating,rt,gender,age,belief_liking,belief_value,profile,score_diff,score_weighted,score_slope
ratingclicks_within,24206,1,Liking,Low,1.503703704,5.5883,Female,31,No Difference,More,Mixed,3,1.5,1.4999999999999982
ratingclicks_within,24206,2,Liking,Medium,2.72345679,3.6165,Female,31,No Difference,More,Mixed,3,1.5,1.4999999999999982
ratingclicks_within,24206,3,Liking,High,3.641975309,4.2753,Female,31,No Difference,More,Mixed,3,1.5,1.4999999999999982
ratingclicks_within,24206,4,Liking,Low,2.397530864,2.3103,Female,31,No Difference,More,Mixed,3,1.5,1.4999999999999982
ratingclicks_within,24206,5,Liking,High,2.486419753,2.6853,Female,31,No Difference,More,Mixed,3,1.5,1.4999999999999982
ratingclicks_within,24206,6,Liking,Medium,2.081481481,1.5366,Female,31,No Difference,More,Mixed,3,1.5,1.4999999999999982
ratingclicks_within,24206,7,Liking,High,1.859259259,5.8903,Female,31,No Difference,More,Mixed,3,1.5,1.4999999999999982
ratingclicks_within,24206,8,Liking,Medium,2.086419753,2.2804,Female,31,No Difference,More,Mixed,3,1.5,1.4999999999999982
ratingclicks_within,24206,9,Liking,Low,1.449382716,2.3651,Female,31,No Difference,More,Mixed,3,1.5,1.4999999999999982
ratingclicks_within,24206,10,Value,Medium,2.441975309,6.5751,Female,31,No Difference,More,Mixed,3,1.5,1.4999999999999982
ratingclicks_within,24206,11,Value,Low,1.49382716,4.0491,Female,31,No Difference,More,Mixed,3,1.5,1.4999999999999982
ratingclicks_within,24206,12,Value,High,3.024691358,6.5176,Female,31,No Difference,More,Mixed,3,1.5,1.4999999999999982
ratingclicks_within,24206,13,Value,Medium,3.439506173,7.4341,Female,31,No Difference,More,Mixed,3,1.5,1.4999999999999982
ratingclicks_within,24206,14,Value,High,2.565432099,11.9529,Female,31,No Difference,More,Mixed,3,1.5,1.4999999999999982
ratingclicks_within,24206,15,Value,Low,2.604938272,11.4485,Female,31,No Difference,More,Mixed,3,1.5,1.4999999999999982
ratingclicks_within,24206,16,Value,High,4.032098765,5.5809,Female,31,No Difference,More,Mixed,3,1.5,1.4999999999999982
ratingclicks_within,24206,17,Value,Low,4.604938272,5.3684,Female,31,No Difference,More,Mixed,3,1.5,1.4999999999999982
ratingclicks_within,24206,18,Value,Medium,4.980246914,2.4519,Female,31,No Difference,More,Mixed,3,1.5,1.4999999999999982
ratingclicks_within,36954,1,Value,Low,1,5.3414,Female,24,More,More,Mixed,0,0,-6.280369834735103e-16
ratingclicks_within,36954,2,Value,Medium,2.011111111,5.6169,Female,24,More,More,Mixed,0,0,-6.280369834735103e-16
ratingclicks_within,36954,3,Value,High,3.985185185,1.7197,Female,24,More,More,Mixed,0,0,-6.280369834735103e-16
ratingclicks_within,36954,4,Value,Low,1,1.9463,Female,24,More,More,Mixed,0,0,-6.280369834735103e-16
ratingclicks_within,36954,5,Value,High,4.996296296,4.4862,Female,24,More,More,Mixed,0,0,-6.280369834735103e-16
ratingclicks_within,36954,6,Value,Medium,2.992592593,2.7111,Female,24,More,More,Mixed,0,0,-6.280369834735103e-16
ratingclicks_within,36954,7,Value,High,2.996296296,3.401,Female,24,More,More,Mixed,0,0,-6.280369834735103e-16
ratingclicks_within,36954,8,Value,Medium,2.007407407,1.1665,Female,24,More,More,Mixed,0,0,-6.280369834735103e-16
ratingclicks_within,36954,9,Value,Low,1.003703704,1.2043,Female,24,More,More,Mixed,0,0,-6.280369834735103e-16
ratingclicks_within,36954,10,Liking,Medium,2.585185185,8.6726,Female,24,More,More,Mixed,0,0,-6.280369834735103e-16
ratingclicks_within,36954,11,Liking,Low,4.288888889,2.4406,Female,24,More,More,Mixed,0,0,-6.280369834735103e-16
ratingclicks_within,36954,12,Liking,High,1,6.0598,Female,24,More,More,Mixed,0,0,-6.280369834735103e-16
ratingclicks_within,36954,13,Liking,Medium,3.488888889,6.2376,Female,24,More,More,Mixed,0,0,-6.280369834735103e-16
